BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
First Bank (MO),5.0,—,3.00%,$0,—,3.0
Forbright Bank,3.4,$0,3.00%,$2.5k,$25,3.0
Seattle Bank,4.2,$10,2.30%,$0,$500,2.3
CFG Bank,3.7,—,1.75%,$20k,$50,1.75
Premier America Credit Union,4.2,$0,1.50%,$0,—,1.5
Vibrant Credit Union,4.2,$0,1.50%,$0,$0,1.5
MainStreet Bank,3.8,$15,1.25%,$25k,$50,1.25
Quorum Federal Credit Union,5.0,—,1.25%,$10k,—,1.25
National Cooperative Bank,3.6,$15,1.16%,$0,$0,1.16
American Bank,4.4,$0,1.00%,$0,$1,1.0
Bask Bank,4.6,$0,1.00%,$0,$0,1.0
NASA Federal Credit Union,3.8,$10,1.00%,$0,$0,1.0
Langley Federal Credit Union,3.2,—,0.75%,$10k,$0,0.75
Amalgamated Bank,4.0,—,0.55%,$2.5k,—,0.55
Golden 1 Credit Union,4.3,—,0.50%,$10k,—,0.5
State Bank of India (California),4.3,—,0.50%,$100,$100,0.5
Communitywide Federal Credit Union,4.4,—,0.50%,$1,$5,0.5
First Internet Bank,3.6,$10,0.50%,$500,$100,0.5
"Sterling Bank and Trust, FSB",3.9,$25,0.40%,$0,$500,0.4
PenFed Credit Union,4.1,$10,0.35%,$20k,$25,0.35
Wells Fargo Bank,3.8,$35,0.35%,$0,$25,0.35
CEFCU,3.0,$6,0.30%,$2.5k,$2.5k,0.3
Citizens State Bank (6194),4.3,$6,0.29%,$1.5k,$0,0.29
Giantbank.com,3.6,—,0.25%,$1k,$100,0.25
Travis Credit Union,3.1,$7.50,0.25%,$10k,$50,0.25
Premier Members Credit Union,3.8,$9.95,0.25%,$0,$25,0.25
Northpointe Bank,3.2,—,0.25%,$25k,$2.5k,0.25
Greenwood Credit Union,3.4,$7,0.25%,$1k,$5,0.25
Ally Bank,4.6,$0,0.25%,$15k,$0,0.25
EverBank,4.6,$0,0.25%,$0,$100,0.25
Dow Credit Union,4.2,—,0.25%,$0,$0,0.25
CIT Bank,4.4,$0,0.25%,$25k,$100,0.25
Alliant Credit Union,4.6,$0,0.25%,$0,$25,0.25
Newtown Savings Bank,3.2,$25,0.20%,$0,$25,0.2
Pinnacle Federal Credit Union,4.2,$0,0.20%,$1,$25,0.2
Farmers & Merchants Bank of Central California,4.4,$0,0.15%,$5k,$50,0.15
MutualOne Bank,3.8,$8,0.15%,$5k,$100,0.15
Service Credit Union,4.0,—,0.15%,$0,—,0.15
Presidential Bank (MD),4.2,$5,0.12%,$0,$1.5k,0.12
American Heritage Credit Union,2.2,$10,0.11%,$7.5k,$7.5k,0.11
United Security Bank (CA),4.0,$0,0.10%,$100,$100,0.1
Star One Credit Union,4.0,$0,0.10%,$0,$25,0.1
Self-Help Credit Union,4.1,$5,0.10%,$0,$0,0.1
Prime Alliance Bank,4.2,$0,0.10%,$15k,$1,0.1
OneUnited Bank,3.1,$20,0.10%,$100,$500,0.1
Hanscom Federal Credit Union,3.6,$9.95,0.10%,$0,$0,0.1
NuVision Federal Credit Union,2.2,$25,0.10%,$25k,$100,0.1
LendingClub,3.2,$0,0.10%,$2.5k,$25,0.1
HomeStreet Bank,2.6,$10,0.10%,$10k,$2.5k,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
Fort Liberty Federal Credit Union,2.3,$5.95,0.10%,$2.5k,—,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Bellco Credit Union,3.6,$12,0.10%,$25k,$0,0.1
bankESB,4.2,$0,0.10%,$25k,$100,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
CTBC Bank,4.3,$0,0.10%,$15k,$100,0.1
Exchange Bank (CA),3.6,$20,0.07%,$10k,—,0.07
Zions Bank,3.0,$10,0.06%,$5k,$50,0.06
Sunward Federal Credit Union,3.4,—,0.05%,$500,$0,0.05
Northrop Grumman Federal Credit Union,3.2,$0,0.05%,$500,$25,0.05
Pasadena Federal Credit Union,2.8,$8,0.05%,$800,$100,0.05
Patelco Credit Union,3.5,$5,0.05%,$0,—,0.05
Savings Bank of Mendocino County,4.0,$9,0.05%,$0,$25,0.05
Summit Credit Union (WI),3.4,$6,0.05%,$25,$25,0.05
United Nations Federal Credit Union,3.6,$0,0.05%,$0,—,0.05
Teachers Federal Credit Union,2.8,$0,0.05%,$2.5k,$0,0.05
The Adirondack Trust Company,3.0,$5,0.05%,$500,$1,0.05
UNIFY Financial Credit Union,2.2,$20,0.05%,$1k,$25,0.05
Matadors Community Credit Union,2.6,$7,0.05%,$1k,$25,0.05
United States Senate Federal Credit Union,2.6,$15,0.05%,$2k,$0,0.05
Veridian Credit Union,3.4,$0,0.05%,$0,—,0.05
My eBanc,3.2,$15,0.05%,$0,$5k,0.05
Justice Federal Credit Union,2.2,$8,0.05%,$2.5k,$25,0.05
Luana Savings Bank,3.6,$8,0.05%,$0,$1k,0.05
Library Of Congress Federal Credit Union,3.2,$0,0.05%,$0,—,0.05
KeyPoint Credit Union (CA),3.0,$12,0.05%,$0,$100,0.05
KeyBank,3.2,$25,0.05%,$0,$50,0.05
IncredibleBank,3.4,$10,0.05%,$0,$0,0.05
Hughes Federal Credit Union,3.8,$0,0.05%,$0,—,0.05
First Citizens Bank (NC),2.6,$18,0.05%,$0,$100,0.05
E*TRADE from Morgan Stanley,3.2,—,0.05%,$0,—,0.05
Community First Credit Union,2.3,$12,0.05%,$1k,$1k,0.05
Community Bank of Raymore,3.2,$6,0.05%,$0,$25,0.05
CIBC Bank USA,4.2,$0,0.05%,$0,$50,0.05
Boeing Employees Credit Union (BECU),4.0,$0,0.05%,$0,—,0.05
Allegacy Federal Credit Union,3.4,$3,0.05%,$0,$50,0.05
1st Nor Cal Credit Union,2.9,$0,0.05%,$10k,—,0.05
Vision Financial Federal Credit Union,2.8,—,0.05%,$500,—,0.05
