BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit
Forbright Bank,3.4,$0,3.00%,$2.5k,$25
Seattle Bank,4.2,$10,2.30%,$0,$500
ZYNLO Bank,4.8,$0,2.00%,$0,$10
CFG Bank,3.7,—,1.75%,$20k,$50
Premier America Credit Union,4.2,$0,1.50%,$0,—
Vibrant Credit Union,4.2,$0,1.50%,$0,$0
MainStreet Bank,3.8,$15,1.25%,$25k,$50
Quorum Federal Credit Union,5.0,—,1.25%,$10k,—
National Cooperative Bank,3.6,$15,1.16%,$0,$0
American Bank,4.4,$0,1.00%,$0,$1
Bask Bank,4.6,$0,1.00%,$0,$0
First International Bank & Trust,4.0,$12.95,1.00%,$0,$5k
NASA Federal Credit Union,3.8,$10,1.00%,$0,$0
Langley Federal Credit Union,3.2,—,0.75%,$10k,$0
Amalgamated Bank,4.0,—,0.55%,$2.5k,—
Communitywide Federal Credit Union,4.4,—,0.50%,$1,$5
First Internet Bank,3.6,$10,0.50%,$500,$100
Stearns Bank National Association,4.3,$0,0.40%,$15k,$0
PenFed Credit Union,4.1,$10,0.35%,$20k,$25
Wells Fargo Bank,3.8,$35,0.35%,$0,$25
Citizens State Bank (6194),4.3,$6,0.29%,$1.5k,$0
Academy Bank,3.5,$20,0.25%,$25k,$100
Alliant Credit Union,4.6,$0,0.25%,$0,$25
Ally Bank,4.6,$0,0.25%,$15k,$0
CIT Bank,4.4,$0,0.25%,$25k,$100
Dow Credit Union,4.2,—,0.25%,$0,$0
EverBank,4.6,$0,0.25%,$0,$100
Giantbank.com,3.6,—,0.25%,$1k,$100
Greenwood Credit Union,3.4,$7,0.25%,$1k,$5
Northpointe Bank,3.2,—,0.25%,$25k,$2.5k
