BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Forbright Bank,3.4,$0,3.00%,$2.5k,$25,3.0
Seattle Bank,4.2,$10,2.30%,$0,$500,2.3
ZYNLO Bank,4.8,$0,2.00%,$0,$10,2.0
CFG Bank,3.7,—,1.75%,$20k,$50,1.75
International Bank of Chicago,3.5,—,1.50%,$2.5k,$1k,1.5
Premier America Credit Union,4.2,$0,1.50%,$0,—,1.5
Vibrant Credit Union,4.2,$0,1.50%,$0,$0,1.5
First National Bank of Brookfield,3.8,—,1.31%,$25k,—,1.31
MainStreet Bank,3.8,$15,1.25%,$25k,$50,1.25
Quorum Federal Credit Union,5.0,—,1.25%,$10k,—,1.25
National Cooperative Bank,3.6,$15,1.16%,$0,$0,1.16
NASA Federal Credit Union,3.8,$10,1.00%,$0,$0,1.0
American Bank,4.4,$0,1.00%,$0,$1,1.0
Bask Bank,4.6,$0,1.00%,$0,$0,1.0
Langley Federal Credit Union,3.2,—,0.75%,$10k,$0,0.75
Amalgamated Bank,4.0,—,0.55%,$2.5k,—,0.55
Communitywide Federal Credit Union,4.4,—,0.50%,$1,$5,0.5
First Internet Bank,3.6,$10,0.50%,$500,$100,0.5
Woodforest National Bank,2.8,$10,0.35%,$1k,$25,0.35
Wells Fargo Bank,3.8,$35,0.35%,$0,$25,0.35
PenFed Credit Union,4.1,$10,0.35%,$20k,$25,0.35
Community State Bank (8067),4.7,—,0.35%,$0,—,0.35
Albany Bank and Trust Company National Association,3.7,$10,0.35%,$0,$100,0.35
Itasca Bank & Trust Co.,3.7,—,0.30%,$1k,—,0.3
Prairie Community Bank,4.4,—,0.30%,$0,—,0.3
Citizens State Bank (6194),4.3,$6,0.29%,$1.5k,$0,0.29
EverBank,4.6,$0,0.25%,$0,$100,0.25
Premier Members Credit Union,3.8,$9.95,0.25%,$0,$25,0.25
Northpointe Bank,3.2,—,0.25%,$25k,$2.5k,0.25
Greenwood Credit Union,3.4,$7,0.25%,$1k,$5,0.25
Giantbank.com,3.6,—,0.25%,$1k,$100,0.25
Community Bank of Elmhurst,4.3,—,0.25%,$1,—,0.25
Dow Credit Union,4.2,—,0.25%,$0,$0,0.25
CIT Bank,4.4,$0,0.25%,$25k,$100,0.25
Ally Bank,4.6,$0,0.25%,$15k,$0,0.25
Alliant Credit Union,4.6,$0,0.25%,$0,$25,0.25
Pinnacle Federal Credit Union,4.2,$0,0.20%,$1,$25,0.2
Newtown Savings Bank,3.2,$25,0.20%,$0,$25,0.2
Customers Bank,4.2,—,0.20%,$0,$0,0.2
Central Bank Illinois,2.5,$10,0.20%,$10k,$200,0.2
Liberty Bank and Trust Company,4.1,—,0.15%,$0,—,0.15
MutualOne Bank,3.8,$8,0.15%,$5k,$100,0.15
Peoples Bank of Kankakee County,3.7,—,0.15%,$20k,—,0.15
Service Credit Union,4.0,—,0.15%,$0,—,0.15
First American Bank (IL),2.4,$25,0.15%,$1k,$100,0.15
Presidential Bank (MD),4.2,$5,0.12%,$0,$1.5k,0.12
United Trust Bank,3.8,—,0.12%,$10k,—,0.12
American Heritage Credit Union,2.2,$10,0.11%,$7.5k,$7.5k,0.11
NuVision Federal Credit Union,2.2,$25,0.10%,$25k,$100,0.1
Heartland Bank and Trust Company,3.7,$8,0.10%,$25k,$50,0.1
LendingClub,3.2,$0,0.10%,$2.5k,$25,0.1
Midland Federal Savings and Loan Association,3.4,—,0.10%,$250,—,0.1
Self-Help Credit Union,4.1,$5,0.10%,$0,$0,0.1
OneUnited Bank,3.1,$20,0.10%,$100,$500,0.1
Prime Alliance Bank,4.2,$0,0.10%,$15k,$1,0.1
Republic Bank of Chicago,3.8,$10,0.10%,$0,$25,0.1
Fort Liberty Federal Credit Union,2.3,$5.95,0.10%,$2.5k,—,0.1
Servbank,3.8,—,0.10%,$0,—,0.1
Hanscom Federal Credit Union,3.6,$9.95,0.10%,$0,$0,0.1
Cornerstone National Bank & Trust Company,3.5,—,0.10%,$25k,—,0.1
Credit Human,3.6,$5,0.10%,$0,$25,0.1
Chevron Federal Credit Union,3.7,$0,0.10%,$500,—,0.1
Centier Bank,4.0,$2,0.10%,$0,$25,0.1
Capital One,4.3,$0,0.10%,$0,$0,0.1
Bellco Credit Union,3.6,$12,0.10%,$25k,$0,0.1
bankESB,4.2,$0,0.10%,$25k,$100,0.1
Bank of Blue Valley,3.6,$12,0.10%,$0,$500,0.1
American Metro Bank,3.8,$10,0.10%,$0,$300,0.1
Alliance Bank (IN),3.8,—,0.10%,$15k,—,0.1
Advancial,4.0,$0,0.10%,$10k,$0,0.1
Zions Bank,3.0,$10,0.06%,$5k,$50,0.06
Advia Credit Union,2.6,—,0.05%,$0,$0,0.05
Allegacy Federal Credit Union,3.4,$3,0.05%,$0,$50,0.05
American Broadcast Employees Federal Credit Union,3.8,$0,0.05%,$0,—,0.05
"Associated Bank, NA",3.2,$25,0.05%,$0,$100,0.05
